City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,New Norfolk,AU,2022-03-03 06:29:31,-42.7826,147.0587,81.88,38,12,3.0,few clouds
144,Beni,CD,2022-03-03 06:29:32,0.5,29.4667,67.37,85,27,0.67,scattered clouds
145,Tasiilaq,GL,2022-03-03 06:29:32,65.6145,-37.6368,30.36,77,100,22.88,overcast clouds
146,Berdsk,RU,2022-03-03 06:29:33,54.7551,83.0967,20.03,85,93,19.42,overcast clouds
147,Chala,TZ,2022-03-03 06:29:33,-7.5833,31.2667,62.53,86,98,2.01,overcast clouds
148,Port Macquarie,AU,2022-03-03 06:29:34,-31.4333,152.9167,71.56,81,61,12.46,broken clouds
149,Thompson,CA,2022-03-03 06:29:35,55.7435,-97.8558,-18.24,76,0,0.0,clear sky
150,Requena,ES,2022-03-03 06:25:12,39.4883,-1.1004,43.5,77,3,5.26,clear sky
151,Torbay,CA,2022-03-03 06:29:36,47.6666,-52.7314,34.29,93,100,24.16,light snow
152,Romodanovo,RU,2022-03-03 06:29:36,54.4275,45.3296,26.74,96,99,5.46,overcast clouds
153,Fortuna,US,2022-03-03 06:29:37,40.5982,-124.1573,52.41,94,100,9.22,overcast clouds
154,Ngama,TD,2022-03-03 06:29:38,11.7833,17.1667,75.45,7,52,9.15,broken clouds
155,Shahr-E Kord,IR,2022-03-03 06:29:38,32.3256,50.8644,47.97,40,0,2.3,clear sky
156,Boguchany,RU,2022-03-03 06:29:39,58.3814,97.4531,11.39,81,100,12.5,overcast clouds
157,Along,IN,2022-03-03 06:29:40,28.1667,94.7667,81.3,29,9,2.26,clear sky
158,Sistranda,NO,2022-03-03 06:29:41,63.7256,8.834,35.91,84,79,11.56,broken clouds
159,Kamenka,RU,2022-03-03 06:29:41,51.3223,42.7678,28.74,97,100,8.41,overcast clouds
160,Port Lincoln,AU,2022-03-03 06:25:29,-34.7333,135.8667,78.91,54,100,1.7,overcast clouds
161,Santiago Del Estero,AR,2022-03-03 06:29:43,-27.7951,-64.2615,79.21,65,87,5.12,overcast clouds
162,Hilo,US,2022-03-03 06:27:35,19.7297,-155.09,74.8,93,100,4.61,light rain
163,Rock Springs,US,2022-03-03 06:29:43,41.5875,-109.2029,44.04,42,0,0.0,clear sky
164,Yaroslavl,RU,2022-03-03 06:27:47,57.6299,39.8737,19.2,79,0,0.0,clear sky
165,Khandyga,RU,2022-03-03 06:29:44,62.6667,135.6,-4.86,86,98,1.52,overcast clouds
166,Sao Filipe,CV,2022-03-03 06:29:45,14.8961,-24.4956,71.94,68,0,12.46,clear sky
167,Bilibino,RU,2022-03-03 06:29:45,68.0546,166.4372,-5.91,99,35,4.38,scattered clouds
168,Avarua,CK,2022-03-03 06:29:45,-21.2078,-159.775,82.45,78,20,5.75,few clouds
169,Yellowknife,CA,2022-03-03 06:29:46,62.456,-114.3525,-22.45,69,0,2.3,clear sky
170,Benjamin Aceval,PY,2022-03-03 06:29:47,-24.9667,-57.5667,75.6,99,99,4.36,overcast clouds
171,Puerto Ayora,EC,2022-03-03 06:29:48,-0.7393,-90.3518,75.54,95,40,1.99,scattered clouds
172,Lumphat,KH,2022-03-03 06:29:49,13.4878,106.9816,100.38,23,74,5.53,broken clouds
173,Port Hardy,CA,2022-03-03 06:29:50,50.6996,-127.4199,44.6,93,100,4.61,light intensity shower rain
174,Adrar,MR,2022-03-03 06:29:51,20.5022,-10.0711,61.03,38,0,11.77,clear sky
175,Caravelas,BR,2022-03-03 06:29:51,-17.7125,-39.2481,75.13,92,72,3.42,broken clouds
